Core,Depth,Coarse Fraction,Lat,Long,Ocean,HADCM3,CSIRO,GISS_121,GISS_122,GISS_123,GISS_124,GISS_125,GISS_126,GISS_127,GISS_128
RC08-077 PC A,1889,20%,-36.5,177.5,Pacific,0.10476499050855637,0.07100629806518555,0.2474399809067843,0.2551418034180502,0.2493215609980523,0.24032238421337457,0.24829614944532388,0.2440412586082871,0.24826637059219453,0.25219864162349237
RC09-127 PC,1533,70%,-34.5,167.5,Pacific,0.13103120028972626,0.10064423829317093,0.16682509270075258,0.18290168042728594,0.1736949992873079,0.16642811105021615,0.17336883146871374,0.1678864829348355,0.1735509509162269,0.1758305032996218
RC09-128 PC,1234,90%,-36.5,166.5,Pacific,0.10093331336975098,0.07582208514213562,0.11928150779662997,0.1315600465507476,0.12131543386279377,0.12006738639530282,0.12704758505687325,0.11945781178519872,0.12437868994324608,0.12860741967047493
RC11-021 PC A,4021,40%,-17.5,324.5,Atlantic,0.22317197918891907,0.21220684051513672,0.1695046408603274,0.19827003633084234,0.17114088281782389,0.1702320441523354,0.18781483680770555,0.17010890176557641,0.1689728974162355,0.19071035061828573
RC12-026 PC A,1618,3-8%,6.5,278.5,Pacific,0.48830240964889526,,0.2528419260865684,0.2696145682916743,0.24897495914428927,0.2591386675719012,0.2746424390707073,0.24424659690309738,0.25753869931506707,0.27565882426602656
RC12-028 PC,1368,25%,8.5,274.5,Pacific,0.6780813932418823,0.1906357705593109,0.25811598026679,0.2641665437225206,0.25651770801136387,0.25821016177806216,0.2664765793135474,0.25466810418944713,0.26143761402651255,0.2695704138259807
RC12-340 PC A,3012,15-25%,12.5,90.5,Indian,0.9377683401107788,0.3864481449127197,0.5148711796813041,0.5291984721126332,0.5133221183196787,0.5171288887528745,0.507619041233565,0.5194209089657644,0.5106434469377614,0.5159491881084782
RC12-340 PC,3012,15-25%,12.5,90.5,Indian,0.9377683401107788,0.3864481449127197,0.5148711796813041,0.5291984721126332,0.5133221183196787,0.5171288887528745,0.507619041233565,0.5194209089657644,0.5106434469377614,0.5159491881084782
RC12-341 PC,2988,30-40%,13.5,89.5,Indian,0.9377683401107788,0.34612396359443665,0.3165497388111056,0.33265523889157417,0.31447929850071044,0.3113679193026737,0.3156092474973364,0.3208351336147922,0.31502267924894495,0.3214246035277376
RC12-343 PC A,2666,10-25%,15.5,90.5,Indian,1.0209124088287354,0.32454267144203186,0.6232930083268667,0.6310855534708559,0.6255618157917069,0.620149047919144,0.6230042466341694,0.6230973034774726,0.6261048108183298,0.626742637738714
RC12-347 PC A,1533,15-30%,9.5,93.5,Indian,0.9770461916923523,0.36757007241249084,0.5432222867252132,0.5457705372172501,0.5359426422515248,0.5376056721210731,0.5176780659755902,0.5432188429952151,0.5234460468927733,0.5354210733710095
RC13-143 PC,1090,85%,5.5,278.5,Pacific,0.700532078742981,0.6290443539619446,0.2975617520817264,0.32489522779516616,0.2957798136600218,0.30494108247779733,0.3215245032117196,0.29222232183877234,0.30402571544996876,0.31828266135599925
RC13-202 PC,1035,30%,2.5,8.5,Atlantic,1.389426350593567,,0.616628035116372,0.6372216009000853,0.6117446064845363,0.6195372701310289,0.5912264816198639,0.6173913907930126,0.5812045037120177,0.633009018067169
RC13-211 PC,3700,85%,-9.5,349.5,Atlantic,0.58355712890625,0.11007428169250488,0.20883320991286675,0.21807715214286222,0.20747725904588604,0.2109171585590896,0.2169533775669141,0.20645646857794697,0.21294013561219435,0.2183229571966324
RC14-030 PC A,1573,100%,-11.5,88.5,Indian,0.770663321018219,0.22674532234668732,0.3382978609800679,0.34172859215175366,0.33508704592876076,0.33559698712579117,0.33465810525765155,0.3338037320663598,0.33411426120747284,0.34259008991527967
RC16-144 PC,1602,25%,-18.5,322.5,Atlantic,1.0619593858718872,0.2267509549856186,0.15171345534713335,0.18045395359210772,0.14921651545317355,0.15487175768857114,0.16425426325243173,0.14739633056875756,0.15210205727673193,0.17298355100278517
RC16-153 PC,3949,28-20%,-13.5,323.5,Atlantic,0.2911662757396698,0.23488564789295197,0.3789604031816006,0.40205164564272067,0.392419793061386,0.37942471538459605,0.3952615842159828,0.3827879265475852,0.375714190939105,0.39358894498000063
RC17-113 PC A,3874,35-40%,15.5,66.5,Indian,0.19589461386203766,0.17950604856014252,0.18317216295124072,0.2010612214726135,0.1825567613958454,0.18703784979601212,0.2036728642548148,0.18223014626510584,0.18156520937784856,0.20299114873026625
RC17-145 TW,1086,35%,6.5,96.5,Indian,1.216076135635376,0.37409162521362305,0.33859641424041254,0.3723758161125031,0.3385765503552179,0.3365641759033778,0.35929568067720735,0.34365714508724077,0.341326182135073,0.3589996504439468
RC20-015 PC,1961,45-50%,6.5,273.5,Pacific,0.7361191511154175,0.25424209237098694,0.19968593179647964,0.20870091460306003,0.19697537033160145,0.20261537383760064,0.21462678097183732,0.19467229367171163,0.20615143219120738,0.2153632399999883
RC24-30 PC,4084,50%,-1.5,3.5,Atlantic,1.2798993587493896,0.3146151304244995,0.18332588723527835,0.19798966013510416,0.18318759624530673,0.18467488799107146,0.1880142839698495,0.18234973897851217,0.18019314771611625,0.19523476367488357
VM17-042 TW A,1814,10-15%,3.5,278.5,Pacific,0.6230200529098511,0.5117320418357849,0.30350527621654894,0.32635977135774363,0.30139497522372427,0.30410060432246,0.3172983158248472,0.2983268261213361,0.3016699844928225,0.3197303459697477
VM18-229 PC A,802,20%,-39.5,170.5,Pacific,0.08817297220230103,0.08295818418264389,0.10525991124500526,0.11200730557229245,0.1033132776625442,0.10530373773938584,0.11217234610265069,0.10376112665743224,0.10708482639851082,0.10959818119216234
VM18-354 PC,1348,15%,6.5,278.5,Pacific,0.48830240964889526,,0.2528419260865684,0.2696145682916743,0.24897495914428927,0.2591386675719012,0.2746424390707073,0.24424659690309738,0.25753869931506707,0.27565882426602656
VM19-072 PC,2637,90-95%,-15.5,219.5,Pacific,0.5085645914077759,0.16283516585826874,0.31667337793455874,0.3211325565673027,0.3169088930166295,0.315211281477267,0.3281814408847631,0.30725604304558973,0.3149640877210097,0.3231672563232724
VM19-074 TW,1525,30-35%,-15.5,214.5,Pacific,0.7678508162498474,0.19948071241378784,0.3390702192388012,0.34215042296111003,0.3409507687499542,0.34128962536367485,0.3521031488103004,0.3334965618227702,0.3392026445752952,0.3485236021697303
VM19-075 PC,1341,80-82%,-16.5,213.5,Pacific,0.7809827923774719,0.25433534383773804,0.33184242005794706,0.3431538526048624,0.33603498551581334,0.34043371980108583,0.3480382026029244,0.3337621781149428,0.3356739868105753,0.34452829607924373
VM21-025 TW A,1359,70%,5.5,278.5,Pacific,0.700532078742981,0.6290443539619446,0.2975617520817264,0.32489522779516616,0.2957798136600218,0.30494108247779733,0.3215245032117196,0.29222232183877234,0.30402571544996876,0.31828266135599925
VM21-029 TW,712,20-30%,-1.5,270.5,Pacific,0.37707579135894775,0.19933538138866425,0.15910299700997202,0.1580301136246008,0.15823346246796136,0.15999466955678968,0.15979512139062788,0.15269181160226614,0.15816385071270928,0.16249312469703714
VM21-211 PC A,1443,70-80% ,3.5,271.5,Pacific,0.5810275077819824,0.23976173996925354,0.23107050419350023,0.2324391249605626,0.22616248406616302,0.2302642851718584,0.2335516832249643,0.22481584064956414,0.2293283971131111,0.23683773696688185
VM22-022 PC A,3197,40%,28.5,316.5,Atlantic,0.15184128284454346,0.13728748261928558,0.14467658113158177,0.14675202626855355,0.13971709349430306,0.1443081160946301,0.15261014836103212,0.14133137297677695,0.1468364202774889,0.14524416146427388
VM22-192 PC A,416,80%,7.5,338.5,Atlantic,0.5143459439277649,0.1542874127626419,0.1987951291200744,0.2133006168214285,0.19728861404176437,0.19648366473540477,0.21143303476153702,0.1969087655308153,0.197838136839222,0.2149023969579036
VM22-196 TW A,3728,25-50%,13.5,341.5,Atlantic,0.12746776640415192,0.24505266547203064,0.1149764546280212,0.14930887646308416,0.11179290765201715,0.11457761592270756,0.15634457372251442,0.11698925454087966,0.12087347638977006,0.15009404219703484
VM22-205 TW A,3823,50%,15.5,335.5,Atlantic,0.16940270364284515,0.16217651963233948,0.23841777283784887,0.24870412537589343,0.2308583941192259,0.24015622110604032,0.26046775658547133,0.24102977104915493,0.2505056355859751,0.2544556196052478
VM24-036 PC A,1878,20-60%,6.5,274.5,Pacific,0.7543100118637085,0.25424209237098694,0.19968593179647964,0.20870091460306003,0.19697537033160145,0.20261537383760064,0.21462678097183732,0.19467229367171163,0.20615143219120738,0.2153632399999883
VM25-029 PC,2558,50-70%,25.5,314.5,Atlantic,0.1556801050901413,0.1304875612258911,0.20242513223490605,0.20814060521474645,0.1986219627770323,0.20220516026495775,0.20956012444110425,0.20030541913649363,0.20224350328843063,0.20460644239446005
